seed,requested_fraction_of_development_train,n_real,percent_of_total_75,mAb_id
0,0.3,16,21.333333333333332,VIS_002
0,0.3,16,21.333333333333332,VIS_004
0,0.3,16,21.333333333333332,VIS_010
0,0.3,16,21.333333333333332,VIS_011
0,0.3,16,21.333333333333332,VIS_022
0,0.3,16,21.333333333333332,VIS_026
0,0.3,16,21.333333333333332,VIS_028
0,0.3,16,21.333333333333332,VIS_029
0,0.3,16,21.333333333333332,VIS_030
0,0.3,16,21.333333333333332,VIS_031
0,0.3,16,21.333333333333332,VIS_032
0,0.3,16,21.333333333333332,VIS_034
0,0.3,16,21.333333333333332,VIS_037
0,0.3,16,21.333333333333332,VIS_040
0,0.3,16,21.333333333333332,VIS_042
0,0.3,16,21.333333333333332,VIS_043
0,0.4,21,28.0,VIS_002
0,0.4,21,28.0,VIS_004
0,0.4,21,28.0,VIS_007
0,0.4,21,28.0,VIS_010
0,0.4,21,28.0,VIS_011
0,0.4,21,28.0,VIS_014
0,0.4,21,28.0,VIS_018
0,0.4,21,28.0,VIS_022
0,0.4,21,28.0,VIS_026
0,0.4,21,28.0,VIS_028
0,0.4,21,28.0,VIS_029
0,0.4,21,28.0,VIS_030
0,0.4,21,28.0,VIS_031
0,0.4,21,28.0,VIS_032
0,0.4,21,28.0,VIS_033
0,0.4,21,28.0,VIS_034
0,0.4,21,28.0,VIS_037
0,0.4,21,28.0,VIS_040
0,0.4,21,28.0,VIS_042
0,0.4,21,28.0,VIS_043
0,0.4,21,28.0,VIS_050
0,0.5,26,34.666666666666664,VIS_002
0,0.5,26,34.666666666666664,VIS_004
0,0.5,26,34.666666666666664,VIS_005
0,0.5,26,34.666666666666664,VIS_007
0,0.5,26,34.666666666666664,VIS_010
0,0.5,26,34.666666666666664,VIS_011
0,0.5,26,34.666666666666664,VIS_014
0,0.5,26,34.666666666666664,VIS_015
0,0.5,26,34.666666666666664,VIS_018
0,0.5,26,34.666666666666664,VIS_022
0,0.5,26,34.666666666666664,VIS_026
0,0.5,26,34.666666666666664,VIS_027
0,0.5,26,34.666666666666664,VIS_028
0,0.5,26,34.666666666666664,VIS_029
0,0.5,26,34.666666666666664,VIS_030
0,0.5,26,34.666666666666664,VIS_031
0,0.5,26,34.666666666666664,VIS_032
0,0.5,26,34.666666666666664,VIS_033
0,0.5,26,34.666666666666664,VIS_034
0,0.5,26,34.666666666666664,VIS_035
0,0.5,26,34.666666666666664,VIS_037
0,0.5,26,34.666666666666664,VIS_040
0,0.5,26,34.666666666666664,VIS_042
0,0.5,26,34.666666666666664,VIS_043
0,0.5,26,34.666666666666664,VIS_049
0,0.5,26,34.666666666666664,VIS_050
0,0.6,31,41.333333333333336,VIS_002
0,0.6,31,41.333333333333336,VIS_004
0,0.6,31,41.333333333333336,VIS_005
0,0.6,31,41.333333333333336,VIS_007
0,0.6,31,41.333333333333336,VIS_008
0,0.6,31,41.333333333333336,VIS_010
0,0.6,31,41.333333333333336,VIS_011
0,0.6,31,41.333333333333336,VIS_014
0,0.6,31,41.333333333333336,VIS_015
0,0.6,31,41.333333333333336,VIS_016
0,0.6,31,41.333333333333336,VIS_018
0,0.6,31,41.333333333333336,VIS_020
0,0.6,31,41.333333333333336,VIS_022
0,0.6,31,41.333333333333336,VIS_026
0,0.6,31,41.333333333333336,VIS_027
0,0.6,31,41.333333333333336,VIS_028
0,0.6,31,41.333333333333336,VIS_029
0,0.6,31,41.333333333333336,VIS_030
0,0.6,31,41.333333333333336,VIS_031
0,0.6,31,41.333333333333336,VIS_032
0,0.6,31,41.333333333333336,VIS_033
0,0.6,31,41.333333333333336,VIS_034
0,0.6,31,41.333333333333336,VIS_035
0,0.6,31,41.333333333333336,VIS_037
0,0.6,31,41.333333333333336,VIS_040
0,0.6,31,41.333333333333336,VIS_042
0,0.6,31,41.333333333333336,VIS_043
0,0.6,31,41.333333333333336,VIS_045
0,0.6,31,41.333333333333336,VIS_049
0,0.6,31,41.333333333333336,VIS_050
0,0.6,31,41.333333333333336,VIS_051
0,0.7,36,48.0,VIS_002
0,0.7,36,48.0,VIS_004
0,0.7,36,48.0,VIS_005
0,0.7,36,48.0,VIS_007
0,0.7,36,48.0,VIS_008
0,0.7,36,48.0,VIS_010
0,0.7,36,48.0,VIS_011
0,0.7,36,48.0,VIS_013
